B&I_No,GBT_No,Wales_No,Scot_No,Book_Name,Link,Latitude,Longitude,Grid_Reference
,,12,,Crickhowell Black Poplars,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=154794,51.85701225,-3.14280571,SO2139118220
,,13,,The Weird Birches of Ty-uchaf,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=243791,51.831879,-3.128814,SO2231215410
,,14,,Ty-uchaf Wall Ash,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=243894,51.827457,-3.1210416,SO22841491
,,19,,Llangattock-juxta-Usk Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3177,51.7814265,-2.97255585,SO3300409643
,,23,,Monmouth Catalpa,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=3240,51.81305376,-2.711069894,SO5107712952
,,24,,Caeryder Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=180328,51.622924,-2.9379218,ST3516791984
,,25,,Curley Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=14536,51.638754,-2.8621956,ST40439368
,,28,,Mamhilad Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=177508,51.72513251,-3.007141994,SO3053103415
,,33,,Llangorse Wych Elm,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=238408,51.946457,-3.247896,SO1432528287
,,35,,Brecon Black Poplar,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2165,51.945028,-3.3937121,SO04302831
,,36,,Rhandirmwyn Oak,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=77528,52.075393,-3.787376,SN77604340
,,37,,Defynnog Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10610,51.9396992,-3.56479319,SN9252827956
,,46,,Ystrad Meurig Ash,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4571,52.289759,-3.8962888,SN70766743
,,47,,Hafod Beeches,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4106,52.338767,-3.8217605,SN75987275
,,48,,Prostrate Blackthorn,,52.404119,-4.0888796,SN5799380510
,,50,,Mallwyd Yew,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=132905,52.69684502,-3.683607753,SH8632012348
,,51,,Lone Yew of Llynierth,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11067,52.87131257,-3.650626782,SH8899431702
,,52,,Llanddeiniolen Yews,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=59038,53.17050916,-4.176959067,SH5458265924
,,57,,The Peace Tree,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=238225,53.246327,-3.307243,SJ1286772942
,,62,,Great Oak at the Gates of the Dead,https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=195,52.931465,-3.0955072,SJ26463768
